,Aircraft,Fuel,Employee,Passenger,Freight,vrs_in
0,109,392,8259,23756,870,1.0
1,115,381,9628,24183,1359,1.0
2,767,2673,70923,163483,12449,1.0
3,90,282,9683,10370,509,0.9
4,461,1608,40630,99047,3726,0.995561
5,628,2074,47420,128635,9214,1.0
6,81,75,7115,11962,536,1.0
7,153,458,10177,32436,1462,1.0
8,455,1722,29124,83862,6337,1.0
9,103,400,8987,14618,785,0.886279
10,547,1217,34680,99636,6597,1.0
11,560,2532,51536,135480,10928,1.0
12,423,1303,32683,74106,4258,0.848598
